customer_id,name,email,age,gender,region,city,segment,loyalty_score,join_date
CUST-00001,Customer_1,customer1@example.com,19,Male,Africa,Lagos,New,3.01,2018-11-15
CUST-00002,Customer_2,customer2@example.com,75,Male,Africa,Casablanca,Regular,1.27,2019-11-11
CUST-00003,Customer_3,customer3@example.com,56,Male,Europe,Madrid,Premium,7.44,2023-12-19
CUST-00004,Customer_4,customer4@example.com,32,Female,Middle East,Istanbul,Regular,8.28,2018-01-21
CUST-00005,Customer_5,customer5@example.com,45,Male,Europe,Rome,Premium,2.94,2020-11-11
CUST-00006,Customer_6,customer6@example.com,42,Female,North America,New York,Premium,6.43,2018-05-15
CUST-00007,Customer_7,customer7@example.com,52,Female,Africa,Johannesburg,Premium,1.71,2020-06-29
CUST-00008,Customer_8,customer8@example.com,74,Other,Africa,Accra,Regular,1.63,2023-08-17
CUST-00009,Customer_9,customer9@example.com,23,Male,Europe,Berlin,New,4.42,2021-11-09
CUST-00010,Customer_10,customer10@example.com,28,Male,Africa,Cairo,Regular,7.03,2023-12-21
CUST-00011,Customer_11,customer11@example.com,22,Male,Africa,Casablanca,New,5.81,2020-01-31
CUST-00012,Customer_12,customer12@example.com,42,Other,Europe,Amsterdam,Premium,7.19,2019-11-14
CUST-00013,Customer_13,customer13@example.com,71,Male,Africa,Cairo,Regular,8.25,2021-05-31
CUST-00014,Customer_14,customer14@example.com,31,Other,Asia Pacific,Tokyo,New,8.89,2020-09-04
CUST-00015,Customer_15,customer15@example.com,49,Female,Europe,Rome,New,2.29,2019-03-10
CUST-00016,Customer_16,customer16@example.com,53,Female,Europe,Rome,New,9.08,2021-05-25
CUST-00017,Customer_17,customer17@example.com,26,Male,Asia Pacific,Singapore,Regular,7.8,2018-12-07
CUST-00018,Customer_18,customer18@example.com,28,Female,Europe,Rome,New,6.37,2021-04-10
CUST-00019,Customer_19,customer19@example.com,47,Male,Latin America,Lima,New,7.12,2018-12-22
CUST-00020,Customer_20,customer20@example.com,66,Other,Africa,Accra,Premium,4.06,2020-06-30
CUST-00021,Customer_21,customer21@example.com,47,Other,Latin America,Mexico City,Premium,8.88,2020-03-29
CUST-00022,Customer_22,customer22@example.com,50,Female,Middle East,Riyadh,New,8.58,2022-04-27
CUST-00023,Customer_23,customer23@example.com,27,Male,Middle East,Riyadh,Regular,5.85,2022-07-06
CUST-00024,Customer_24,customer24@example.com,38,Male,North America,Toronto,Regular,9.36,2020-08-13
CUST-00025,Customer_25,customer25@example.com,33,Male,Europe,London,New,1.77,2022-02-18
CUST-00026,Customer_26,customer26@example.com,67,Other,North America,Toronto,Premium,5.28,2022-09-05
CUST-00027,Customer_27,customer27@example.com,51,Male,Europe,Berlin,Regular,9.36,2023-11-14
CUST-00028,Customer_28,customer28@example.com,37,Other,Europe,Rome,Regular,6.85,2021-09-23
CUST-00029,Customer_29,customer29@example.com,25,Male,Middle East,Istanbul,Regular,4.04,2023-01-02
CUST-00030,Customer_30,customer30@example.com,55,Male,Middle East,Riyadh,Premium,7.37,2018-07-02
CUST-00031,Customer_31,customer31@example.com,75,Female,Europe,London,Premium,1.64,2020-01-10
CUST-00032,Customer_32,customer32@example.com,49,Male,Asia Pacific,Seoul,Premium,7.51,2022-11-10
CUST-00033,Customer_33,customer33@example.com,33,Female,Middle East,Istanbul,New,2.71,2018-10-29
CUST-00034,Customer_34,customer34@example.com,40,Female,Africa,Johannesburg,Regular,8.77,2018-06-18
CUST-00035,Customer_35,customer35@example.com,59,Female,Africa,Casablanca,Premium,7.55,2018-12-06
CUST-00036,Customer_36,customer36@example.com,30,Male,Europe,Paris,Regular,4.8,2020-05-15
CUST-00037,Customer_37,customer37@example.com,73,Other,Latin America,Mexico City,Regular,1.88,2023-07-20
CUST-00038,Customer_38,customer38@example.com,23,Male,Middle East,Dubai,New,2.5,2022-02-17
CUST-00039,Customer_39,customer39@example.com,73,Female,Latin America,Mexico City,Regular,1.02,2021-04-27
CUST-00040,Customer_40,customer40@example.com,36,Other,Asia Pacific,Mumbai,Regular,9.96,2022-09-23
CUST-00041,Customer_41,customer41@example.com,49,Female,Africa,Casablanca,Premium,2.96,2018-07-01
CUST-00042,Customer_42,customer42@example.com,52,Female,Middle East,Doha,Premium,1.51,2022-12-20
CUST-00043,Customer_43,customer43@example.com,72,Other,Latin America,Lima,Regular,1.72,2019-08-01
CUST-00044,Customer_44,customer44@example.com,22,Male,North America,Toronto,New,4.63,2022-11-05
CUST-00045,Customer_45,customer45@example.com,56,Male,Europe,Madrid,Premium,4.77,2022-12-19
CUST-00046,Customer_46,customer46@example.com,38,Male,Middle East,Cairo,New,7.03,2020-09-03
CUST-00047,Customer_47,customer47@example.com,43,Other,Europe,Berlin,Premium,3.7,2020-09-09
CUST-00048,Customer_48,customer48@example.com,47,Male,North America,New York,Regular,1.66,2019-10-25
CUST-00049,Customer_49,customer49@example.com,26,Male,Middle East,Tel Aviv,New,8.91,2021-02-22
CUST-00050,Customer_50,customer50@example.com,46,Other,Asia Pacific,Singapore,New,9.85,2023-07-25
CUST-00051,Customer_51,customer51@example.com,60,Other,Middle East,Dubai,Regular,1.93,2019-02-22
CUST-00052,Customer_52,customer52@example.com,74,Other,Asia Pacific,Tokyo,Premium,2.4,2020-05-25
CUST-00053,Customer_53,customer53@example.com,63,Other,Middle East,Riyadh,Premium,6.71,2020-03-31
CUST-00054,Customer_54,customer54@example.com,34,Male,Middle East,Istanbul,New,1.83,2021-08-09
CUST-00055,Customer_55,customer55@example.com,18,Male,Asia Pacific,Tokyo,Regular,6.73,2020-03-24
CUST-00056,Customer_56,customer56@example.com,46,Male,Europe,Rome,Regular,2.01,2023-11-17
CUST-00057,Customer_57,customer57@example.com,20,Other,Europe,Madrid,New,5.97,2021-08-28
CUST-00058,Customer_58,customer58@example.com,37,Male,Europe,London,Regular,9.09,2019-10-15
CUST-00059,Customer_59,customer59@example.com,60,Other,Africa,Nairobi,Premium,8.96,2021-06-16
CUST-00060,Customer_60,customer60@example.com,27,Male,Middle East,Doha,New,8.78,2019-07-05
CUST-00061,Customer_61,customer61@example.com,29,Female,Latin America,São Paulo,New,8.04,2021-07-03
CUST-00062,Customer_62,customer62@example.com,69,Male,Africa,Casablanca,Premium,8.09,2018-12-02
CUST-00063,Customer_63,customer63@example.com,72,Female,Latin America,São Paulo,Regular,4.15,2019-12-09
CUST-00064,Customer_64,customer64@example.com,60,Female,Europe,London,Premium,3.51,2018-08-04
CUST-00065,Customer_65,customer65@example.com,59,Other,Asia Pacific,Sydney,New,3.98,2018-03-27
CUST-00066,Customer_66,customer66@example.com,29,Female,North America,Chicago,Regular,1.34,2023-01-28
CUST-00067,Customer_67,customer67@example.com,64,Other,Latin America,Buenos Aires,Regular,2.04,2022-11-27
CUST-00068,Customer_68,customer68@example.com,20,Male,Europe,Berlin,New,5.68,2022-07-31
CUST-00069,Customer_69,customer69@example.com,65,Female,Africa,Casablanca,Regular,1.63,2023-08-26
CUST-00070,Customer_70,customer70@example.com,38,Male,Asia Pacific,Shanghai,New,7.48,2020-07-22
CUST-00071,Customer_71,customer71@example.com,60,Female,Middle East,Tel Aviv,Regular,5.99,2019-08-20
CUST-00072,Customer_72,customer72@example.com,42,Other,Latin America,Santiago,New,6.12,2021-06-15
CUST-00073,Customer_73,customer73@example.com,37,Female,Middle East,Dubai,Regular,8.07,2023-02-28
CUST-00074,Customer_74,customer74@example.com,47,Other,Africa,Cairo,New,5.26,2019-06-12
CUST-00075,Customer_75,customer75@example.com,36,Other,Africa,Lagos,Regular,6.57,2018-10-18
CUST-00076,Customer_76,customer76@example.com,37,Male,Europe,Rome,Regular,2.33,2018-05-24
